image,split,num_ground_truth_boxes,label_path,output_path
010_png.rf.fcf5e274562ee69a325f9d7a0b30767f.jpg,test,22,/content/drive/MyDrive/ece-533-final-project/data/martianlunar-crater-detection-dataset/craters/test/labels/010_png.rf.fcf5e274562ee69a325f9d7a0b30767f.txt,/content/drive/MyDrive/ece-533-final-project/dataset_outputs/ground_truth/010_png.rf.fcf5e274562ee69a325f9d7a0b30767f.jpg
015_png.rf.7d5b2091b6339c9480a171a59c52c3b9.jpg,test,12,/content/drive/MyDrive/ece-533-final-project/data/martianlunar-crater-detection-dataset/craters/test/labels/015_png.rf.7d5b2091b6339c9480a171a59c52c3b9.txt,/content/drive/MyDrive/ece-533-final-project/dataset_outputs/ground_truth/015_png.rf.7d5b2091b6339c9480a171a59c52c3b9.jpg
019_png.rf.1930cd277f9bf0e3fa57f2dcfee0385f.jpg,test,7,/content/drive/MyDrive/ece-533-final-project/data/martianlunar-crater-detection-dataset/craters/test/labels/019_png.rf.1930cd277f9bf0e3fa57f2dcfee0385f.txt,/content/drive/MyDrive/ece-533-final-project/dataset_outputs/ground_truth/019_png.rf.1930cd277f9bf0e3fa57f2dcfee0385f.jpg
04_png.rf.81a7d6cbeb9dc09e5a8ecd40e185fc92.jpg,test,22,/content/drive/MyDrive/ece-533-final-project/data/martianlunar-crater-detection-dataset/craters/test/labels/04_png.rf.81a7d6cbeb9dc09e5a8ecd40e185fc92.txt,/content/drive/MyDrive/ece-533-final-project/dataset_outputs/ground_truth/04_png.rf.81a7d6cbeb9dc09e5a8ecd40e185fc92.jpg
mars_crater--100-_jpg.rf.a2ad5867efb2d73e86d9d980ca40a9fe.jpg,test,6,/content/drive/MyDrive/ece-533-final-project/data/martianlunar-crater-detection-dataset/craters/test/labels/mars_crater--100-_jpg.rf.a2ad5867efb2d73e86d9d980ca40a9fe.txt,/content/drive/MyDrive/ece-533-final-project/dataset_outputs/ground_truth/mars_crater--100-_jpg.rf.a2ad5867efb2d73e86d9d980ca40a9fe.jpg
mars_crater--108-_jpg.rf.9395f473f249e064dbfea078e2519a17.jpg,test,10,/content/drive/MyDrive/ece-533-final-project/data/martianlunar-crater-detection-dataset/craters/test/labels/mars_crater--108-_jpg.rf.9395f473f249e064dbfea078e2519a17.txt,/content/drive/MyDrive/ece-533-final-project/dataset_outputs/ground_truth/mars_crater--108-_jpg.rf.9395f473f249e064dbfea078e2519a17.jpg
mars_crater--116-_jpg.rf.2e550a693a8800808e68848484716b95.jpg,test,6,/content/drive/MyDrive/ece-533-final-project/data/martianlunar-crater-detection-dataset/craters/test/labels/mars_crater--116-_jpg.rf.2e550a693a8800808e68848484716b95.txt,/content/drive/MyDrive/ece-533-final-project/dataset_outputs/ground_truth/mars_crater--116-_jpg.rf.2e550a693a8800808e68848484716b95.jpg
mars_crater--117-_jpg.rf.b412b6593d102c5f9dda7bce79bb815c.jpg,test,7,/content/drive/MyDrive/ece-533-final-project/data/martianlunar-crater-detection-dataset/craters/test/labels/mars_crater--117-_jpg.rf.b412b6593d102c5f9dda7bce79bb815c.txt,/content/drive/MyDrive/ece-533-final-project/dataset_outputs/ground_truth/mars_crater--117-_jpg.rf.b412b6593d102c5f9dda7bce79bb815c.jpg
mars_crater--12-_jpg.rf.26060e7ca4ca8781bcaf011b9b70b7db.jpg,test,5,/content/drive/MyDrive/ece-533-final-project/data/martianlunar-crater-detection-dataset/craters/test/labels/mars_crater--12-_jpg.rf.26060e7ca4ca8781bcaf011b9b70b7db.txt,/content/drive/MyDrive/ece-533-final-project/dataset_outputs/ground_truth/mars_crater--12-_jpg.rf.26060e7ca4ca8781bcaf011b9b70b7db.jpg
mars_crater--25-_jpg.rf.a06bfa24b404b064ead471f56d636e0e.jpg,test,2,/content/drive/MyDrive/ece-533-final-project/data/martianlunar-crater-detection-dataset/craters/test/labels/mars_crater--25-_jpg.rf.a06bfa24b404b064ead471f56d636e0e.txt,/content/drive/MyDrive/ece-533-final-project/dataset_outputs/ground_truth/mars_crater--25-_jpg.rf.a06bfa24b404b064ead471f56d636e0e.jpg
