model,image,detections,inference_time_sec,total_image_time_sec,output_path
yolov8n,010_png.rf.fcf5e274562ee69a325f9d7a0b30767f.jpg,26,0.3662221431732178,0.4946272373199463,/content/drive/MyDrive/ece-533-final-project/comparison_outputs/yolo/010_png.rf.fcf5e274562ee69a325f9d7a0b30767f.jpg
yolov8n,015_png.rf.7d5b2091b6339c9480a171a59c52c3b9.jpg,14,0.027984142303466797,0.05922842025756836,/content/drive/MyDrive/ece-533-final-project/comparison_outputs/yolo/015_png.rf.7d5b2091b6339c9480a171a59c52c3b9.jpg
yolov8n,019_png.rf.1930cd277f9bf0e3fa57f2dcfee0385f.jpg,9,0.04633069038391113,0.08925414085388184,/content/drive/MyDrive/ece-533-final-project/comparison_outputs/yolo/019_png.rf.1930cd277f9bf0e3fa57f2dcfee0385f.jpg
yolov8n,04_png.rf.81a7d6cbeb9dc09e5a8ecd40e185fc92.jpg,11,0.06101179122924805,0.10889220237731934,/content/drive/MyDrive/ece-533-final-project/comparison_outputs/yolo/04_png.rf.81a7d6cbeb9dc09e5a8ecd40e185fc92.jpg
yolov8n,mars_crater--100-_jpg.rf.a2ad5867efb2d73e86d9d980ca40a9fe.jpg,8,0.041290998458862305,0.07288265228271484,/content/drive/MyDrive/ece-533-final-project/comparison_outputs/yolo/mars_crater--100-_jpg.rf.a2ad5867efb2d73e86d9d980ca40a9fe.jpg
yolov8n,mars_crater--108-_jpg.rf.9395f473f249e064dbfea078e2519a17.jpg,9,0.034476518630981445,0.05469870567321777,/content/drive/MyDrive/ece-533-final-project/comparison_outputs/yolo/mars_crater--108-_jpg.rf.9395f473f249e064dbfea078e2519a17.jpg
yolov8n,mars_crater--116-_jpg.rf.2e550a693a8800808e68848484716b95.jpg,6,0.01841259002685547,0.0421757698059082,/content/drive/MyDrive/ece-533-final-project/comparison_outputs/yolo/mars_crater--116-_jpg.rf.2e550a693a8800808e68848484716b95.jpg
yolov8n,mars_crater--117-_jpg.rf.b412b6593d102c5f9dda7bce79bb815c.jpg,11,0.01688671112060547,0.036983489990234375,/content/drive/MyDrive/ece-533-final-project/comparison_outputs/yolo/mars_crater--117-_jpg.rf.b412b6593d102c5f9dda7bce79bb815c.jpg
yolov8n,mars_crater--12-_jpg.rf.26060e7ca4ca8781bcaf011b9b70b7db.jpg,3,0.016059398651123047,0.038158416748046875,/content/drive/MyDrive/ece-533-final-project/comparison_outputs/yolo/mars_crater--12-_jpg.rf.26060e7ca4ca8781bcaf011b9b70b7db.jpg
yolov8n,mars_crater--25-_jpg.rf.a06bfa24b404b064ead471f56d636e0e.jpg,3,0.016577482223510742,0.054454803466796875,/content/drive/MyDrive/ece-533-final-project/comparison_outputs/yolo/mars_crater--25-_jpg.rf.a06bfa24b404b064ead471f56d636e0e.jpg
yolov8n,mars_crater--31-_jpg.rf.5030dfd316db1570d5f2ad396fa87d4d.jpg,4,0.017312288284301758,0.03688454627990723,/content/drive/MyDrive/ece-533-final-project/comparison_outputs/yolo/mars_crater--31-_jpg.rf.5030dfd316db1570d5f2ad396fa87d4d.jpg
yolov8n,mars_crater--32-_jpg.rf.2f0302a2f32a7b05f5c55e3dac97f1ea.jpg,6,0.015961170196533203,0.03737807273864746,/content/drive/MyDrive/ece-533-final-project/comparison_outputs/yolo/mars_crater--32-_jpg.rf.2f0302a2f32a7b05f5c55e3dac97f1ea.jpg
yolov8n,mars_crater--33-_jpg.rf.baf9c7be01ba1f4b954e0e5be0560c80.jpg,0,0.016597270965576172,0.03840827941894531,/content/drive/MyDrive/ece-533-final-project/comparison_outputs/yolo/mars_crater--33-_jpg.rf.baf9c7be01ba1f4b954e0e5be0560c80.jpg
yolov8n,mars_crater--46-_jpg.rf.369e88a43859f97a595d2091746600f4.jpg,1,0.02105426788330078,0.04446816444396973,/content/drive/MyDrive/ece-533-final-project/comparison_outputs/yolo/mars_crater--46-_jpg.rf.369e88a43859f97a595d2091746600f4.jpg
yolov8n,mars_crater--51-_jpg.rf.2f21cd1782f9da8bb8f1ada8efa134a7.jpg,3,0.01684403419494629,0.04072737693786621,/content/drive/MyDrive/ece-533-final-project/comparison_outputs/yolo/mars_crater--51-_jpg.rf.2f21cd1782f9da8bb8f1ada8efa134a7.jpg
yolov8n,mars_crater--60-_jpg.rf.df89b1f82e171f73f5402c29b6637aa8.jpg,2,0.01739048957824707,0.037804603576660156,/content/drive/MyDrive/ece-533-final-project/comparison_outputs/yolo/mars_crater--60-_jpg.rf.df89b1f82e171f73f5402c29b6637aa8.jpg
yolov8n,mars_crater--65-_jpg.rf.34ab64f1f6ce5a4b360ea66eae77d4b9.jpg,5,0.017025470733642578,0.04383111000061035,/content/drive/MyDrive/ece-533-final-project/comparison_outputs/yolo/mars_crater--65-_jpg.rf.34ab64f1f6ce5a4b360ea66eae77d4b9.jpg
yolov8n,mars_crater--66-_jpg.rf.85564f58f27e684c94c8a0e484cc289e.jpg,1,0.018062114715576172,0.05476236343383789,/content/drive/MyDrive/ece-533-final-project/comparison_outputs/yolo/mars_crater--66-_jpg.rf.85564f58f27e684c94c8a0e484cc289e.jpg
yolov8n,mars_crater--97-_jpg.rf.63347c2ec963cf5c4ab641e1ba872df1.jpg,3,0.01853656768798828,0.03949236869812012,/content/drive/MyDrive/ece-533-final-project/comparison_outputs/yolo/mars_crater--97-_jpg.rf.63347c2ec963cf5c4ab641e1ba872df1.jpg
faster_rcnn_crater,010_png.rf.fcf5e274562ee69a325f9d7a0b30767f.jpg,29,0.12650704383850098,0.16242456436157227,/content/drive/MyDrive/ece-533-final-project/comparison_outputs/faster_rcnn/010_png.rf.fcf5e274562ee69a325f9d7a0b30767f.jpg
faster_rcnn_crater,015_png.rf.7d5b2091b6339c9480a171a59c52c3b9.jpg,15,0.08859086036682129,0.12353181838989258,/content/drive/MyDrive/ece-533-final-project/comparison_outputs/faster_rcnn/015_png.rf.7d5b2091b6339c9480a171a59c52c3b9.jpg
faster_rcnn_crater,019_png.rf.1930cd277f9bf0e3fa57f2dcfee0385f.jpg,9,0.08873748779296875,0.12401342391967773,/content/drive/MyDrive/ece-533-final-project/comparison_outputs/faster_rcnn/019_png.rf.1930cd277f9bf0e3fa57f2dcfee0385f.jpg
faster_rcnn_crater,04_png.rf.81a7d6cbeb9dc09e5a8ecd40e185fc92.jpg,11,0.08012247085571289,0.1401386260986328,/content/drive/MyDrive/ece-533-final-project/comparison_outputs/faster_rcnn/04_png.rf.81a7d6cbeb9dc09e5a8ecd40e185fc92.jpg
faster_rcnn_crater,mars_crater--100-_jpg.rf.a2ad5867efb2d73e86d9d980ca40a9fe.jpg,4,0.08492064476013184,0.1283559799194336,/content/drive/MyDrive/ece-533-final-project/comparison_outputs/faster_rcnn/mars_crater--100-_jpg.rf.a2ad5867efb2d73e86d9d980ca40a9fe.jpg
faster_rcnn_crater,mars_crater--108-_jpg.rf.9395f473f249e064dbfea078e2519a17.jpg,13,0.08294224739074707,0.11939764022827148,/content/drive/MyDrive/ece-533-final-project/comparison_outputs/faster_rcnn/mars_crater--108-_jpg.rf.9395f473f249e064dbfea078e2519a17.jpg
faster_rcnn_crater,mars_crater--116-_jpg.rf.2e550a693a8800808e68848484716b95.jpg,9,0.08042311668395996,0.11591887474060059,/content/drive/MyDrive/ece-533-final-project/comparison_outputs/faster_rcnn/mars_crater--116-_jpg.rf.2e550a693a8800808e68848484716b95.jpg
faster_rcnn_crater,mars_crater--117-_jpg.rf.b412b6593d102c5f9dda7bce79bb815c.jpg,9,0.07823824882507324,0.13337039947509766,/content/drive/MyDrive/ece-533-final-project/comparison_outputs/faster_rcnn/mars_crater--117-_jpg.rf.b412b6593d102c5f9dda7bce79bb815c.jpg
faster_rcnn_crater,mars_crater--12-_jpg.rf.26060e7ca4ca8781bcaf011b9b70b7db.jpg,0,0.08065676689147949,0.12022614479064941,/content/drive/MyDrive/ece-533-final-project/comparison_outputs/faster_rcnn/mars_crater--12-_jpg.rf.26060e7ca4ca8781bcaf011b9b70b7db.jpg
faster_rcnn_crater,mars_crater--25-_jpg.rf.a06bfa24b404b064ead471f56d636e0e.jpg,2,0.07844138145446777,0.12036728858947754,/content/drive/MyDrive/ece-533-final-project/comparison_outputs/faster_rcnn/mars_crater--25-_jpg.rf.a06bfa24b404b064ead471f56d636e0e.jpg
faster_rcnn_crater,mars_crater--31-_jpg.rf.5030dfd316db1570d5f2ad396fa87d4d.jpg,6,0.08130216598510742,0.12801504135131836,/content/drive/MyDrive/ece-533-final-project/comparison_outputs/faster_rcnn/mars_crater--31-_jpg.rf.5030dfd316db1570d5f2ad396fa87d4d.jpg
faster_rcnn_crater,mars_crater--32-_jpg.rf.2f0302a2f32a7b05f5c55e3dac97f1ea.jpg,4,0.07825922966003418,0.1109917163848877,/content/drive/MyDrive/ece-533-final-project/comparison_outputs/faster_rcnn/mars_crater--32-_jpg.rf.2f0302a2f32a7b05f5c55e3dac97f1ea.jpg
faster_rcnn_crater,mars_crater--33-_jpg.rf.baf9c7be01ba1f4b954e0e5be0560c80.jpg,0,0.08079075813293457,0.12123441696166992,/content/drive/MyDrive/ece-533-final-project/comparison_outputs/faster_rcnn/mars_crater--33-_jpg.rf.baf9c7be01ba1f4b954e0e5be0560c80.jpg
faster_rcnn_crater,mars_crater--46-_jpg.rf.369e88a43859f97a595d2091746600f4.jpg,1,0.08075571060180664,0.12966036796569824,/content/drive/MyDrive/ece-533-final-project/comparison_outputs/faster_rcnn/mars_crater--46-_jpg.rf.369e88a43859f97a595d2091746600f4.jpg
faster_rcnn_crater,mars_crater--51-_jpg.rf.2f21cd1782f9da8bb8f1ada8efa134a7.jpg,4,0.07898998260498047,0.11774897575378418,/content/drive/MyDrive/ece-533-final-project/comparison_outputs/faster_rcnn/mars_crater--51-_jpg.rf.2f21cd1782f9da8bb8f1ada8efa134a7.jpg
faster_rcnn_crater,mars_crater--60-_jpg.rf.df89b1f82e171f73f5402c29b6637aa8.jpg,5,0.0795438289642334,0.11408257484436035,/content/drive/MyDrive/ece-533-final-project/comparison_outputs/faster_rcnn/mars_crater--60-_jpg.rf.df89b1f82e171f73f5402c29b6637aa8.jpg
faster_rcnn_crater,mars_crater--65-_jpg.rf.34ab64f1f6ce5a4b360ea66eae77d4b9.jpg,7,0.07992005348205566,0.1347944736480713,/content/drive/MyDrive/ece-533-final-project/comparison_outputs/faster_rcnn/mars_crater--65-_jpg.rf.34ab64f1f6ce5a4b360ea66eae77d4b9.jpg
faster_rcnn_crater,mars_crater--66-_jpg.rf.85564f58f27e684c94c8a0e484cc289e.jpg,3,0.0811302661895752,0.11602163314819336,/content/drive/MyDrive/ece-533-final-project/comparison_outputs/faster_rcnn/mars_crater--66-_jpg.rf.85564f58f27e684c94c8a0e484cc289e.jpg
faster_rcnn_crater,mars_crater--97-_jpg.rf.63347c2ec963cf5c4ab641e1ba872df1.jpg,4,0.0820472240447998,0.11457991600036621,/content/drive/MyDrive/ece-533-final-project/comparison_outputs/faster_rcnn/mars_crater--97-_jpg.rf.63347c2ec963cf5c4ab641e1ba872df1.jpg
