epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,model,total_training_time_sec,avg_epoch_time_sec,batch_size,epochs,image_size
1,6.32561,1.79836,3.25529,1.4247,0.01756,0.67822,0.09292,0.03641,1.56963,3.32494,1.35011,0.00024,0.00024,0.00024,yolov8n,182.78746557235718,3.6557493114471438,8,50,640
2,10.4623,1.60232,2.05883,1.27,0.46192,0.21782,0.20994,0.10955,1.64185,2.91494,1.21759,0.0004901,0.0004901,0.0004901,yolov8n,182.78746557235718,3.6557493114471438,8,50,640
3,14.3421,1.64552,1.92494,1.31584,0.02115,0.81683,0.19099,0.09471,1.59748,2.91927,1.27022,0.000729904,0.000729904,0.000729904,yolov8n,182.78746557235718,3.6557493114471438,8,50,640
4,18.032,1.5278,1.64735,1.28226,0.38993,0.17327,0.14667,0.06719,1.62042,2.755,1.38225,0.000959412,0.000959412,0.000959412,yolov8n,182.78746557235718,3.6557493114471438,8,50,640
5,21.1619,1.44438,1.60479,1.2627,0.58603,0.18222,0.19248,0.07655,1.78247,2.70164,1.41203,0.00117862,0.00117862,0.00117862,yolov8n,182.78746557235718,3.6557493114471438,8,50,640
6,23.8029,1.50177,1.6025,1.30608,0.4867,0.21287,0.24929,0.12593,1.68735,2.49818,1.40272,0.00138754,0.00138754,0.00138754,yolov8n,182.78746557235718,3.6557493114471438,8,50,640
7,26.6758,1.49095,1.57473,1.25472,0.37614,0.38119,0.32718,0.18198,1.65602,2.14489,1.36648,0.00158616,0.00158616,0.00158616,yolov8n,182.78746557235718,3.6557493114471438,8,50,640
8,31.0038,1.54587,1.56813,1.28754,0.4018,0.35149,0.29802,0.17045,1.62246,2.17241,1.32831,0.0017228,0.0017228,0.0017228,yolov8n,182.78746557235718,3.6557493114471438,8,50,640
9,33.9604,1.55775,1.53898,1.27669,0.2845,0.43699,0.26173,0.126,1.58409,2.1672,1.36116,0.0016832,0.0016832,0.0016832,yolov8n,182.78746557235718,3.6557493114471438,8,50,640
10,36.8969,1.54595,1.57643,1.32942,0.24302,0.40594,0.23554,0.12322,1.58955,2.43171,1.36631,0.0016436,0.0016436,0.0016436,yolov8n,182.78746557235718,3.6557493114471438,8,50,640
11,39.9448,1.56859,1.59476,1.28972,0.21215,0.35193,0.16825,0.08022,1.67524,2.49783,1.43879,0.001604,0.001604,0.001604,yolov8n,182.78746557235718,3.6557493114471438,8,50,640
12,42.8509,1.44807,1.45608,1.23954,0.2543,0.36139,0.19196,0.09751,1.66932,2.54361,1.46677,0.0015644,0.0015644,0.0015644,yolov8n,182.78746557235718,3.6557493114471438,8,50,640
13,47.2455,1.51407,1.52489,1.26047,0.28498,0.30198,0.18629,0.09603,1.63992,2.38427,1.41966,0.0015248,0.0015248,0.0015248,yolov8n,182.78746557235718,3.6557493114471438,8,50,640
14,50.0146,1.48604,1.53964,1.27115,0.53236,0.4604,0.45314,0.25671,1.59936,1.66836,1.34778,0.0014852,0.0014852,0.0014852,yolov8n,182.78746557235718,3.6557493114471438,8,50,640
15,52.7532,1.49384,1.44136,1.27812,0.64836,0.56593,0.58712,0.30866,1.6144,1.58446,1.37328,0.0014456,0.0014456,0.0014456,yolov8n,182.78746557235718,3.6557493114471438,8,50,640
16,55.3654,1.49588,1.41617,1.23907,0.63459,0.59901,0.5895,0.30548,1.59339,1.64462,1.35965,0.001406,0.001406,0.001406,yolov8n,182.78746557235718,3.6557493114471438,8,50,640
17,58.6586,1.49245,1.43235,1.24916,0.57377,0.61311,0.57156,0.31626,1.58754,1.48719,1.31436,0.0013664,0.0013664,0.0013664,yolov8n,182.78746557235718,3.6557493114471438,8,50,640
18,62.8577,1.35873,1.30391,1.20591,0.5167,0.59806,0.54817,0.30537,1.56647,1.50414,1.2893,0.0013268,0.0013268,0.0013268,yolov8n,182.78746557235718,3.6557493114471438,8,50,640
19,65.3001,1.3683,1.38609,1.22152,0.66117,0.5313,0.58522,0.336,1.56373,1.47285,1.27453,0.0012872,0.0012872,0.0012872,yolov8n,182.78746557235718,3.6557493114471438,8,50,640
20,68.8916,1.43782,1.34266,1.21741,0.64436,0.64356,0.64474,0.3486,1.55309,1.49465,1.2671,0.0012476,0.0012476,0.0012476,yolov8n,182.78746557235718,3.6557493114471438,8,50,640
21,71.6286,1.35151,1.22274,1.18425,0.64831,0.63366,0.62934,0.33498,1.56245,1.57265,1.27812,0.001208,0.001208,0.001208,yolov8n,182.78746557235718,3.6557493114471438,8,50,640
22,75.2859,1.37393,1.33848,1.21113,0.62232,0.63861,0.64569,0.34311,1.64473,1.40387,1.32954,0.0011684,0.0011684,0.0011684,yolov8n,182.78746557235718,3.6557493114471438,8,50,640
23,79.7061,1.39319,1.23368,1.24386,0.62629,0.61386,0.63526,0.3427,1.6175,1.37866,1.31218,0.0011288,0.0011288,0.0011288,yolov8n,182.78746557235718,3.6557493114471438,8,50,640
24,82.2992,1.3847,1.27924,1.19688,0.66144,0.65347,0.66784,0.36737,1.56068,1.29748,1.27047,0.0010892,0.0010892,0.0010892,yolov8n,182.78746557235718,3.6557493114471438,8,50,640
25,85.0605,1.38767,1.25679,1.18913,0.64162,0.70792,0.70455,0.40071,1.55626,1.2286,1.27762,0.0010496,0.0010496,0.0010496,yolov8n,182.78746557235718,3.6557493114471438,8,50,640
26,87.8078,1.39676,1.23236,1.19377,0.63801,0.71782,0.70522,0.40526,1.55446,1.23415,1.26633,0.00101,0.00101,0.00101,yolov8n,182.78746557235718,3.6557493114471438,8,50,640
27,93.8114,1.35632,1.22534,1.13961,0.65323,0.66337,0.6966,0.39601,1.54799,1.2553,1.25176,0.0009704,0.0009704,0.0009704,yolov8n,182.78746557235718,3.6557493114471438,8,50,640
28,96.7192,1.37337,1.22151,1.19325,0.67874,0.61386,0.65832,0.36504,1.57507,1.34359,1.26642,0.0009308,0.0009308,0.0009308,yolov8n,182.78746557235718,3.6557493114471438,8,50,640
29,99.939,1.37773,1.50775,1.22004,0.67621,0.63068,0.67422,0.37571,1.58299,1.33837,1.27152,0.0008912,0.0008912,0.0008912,yolov8n,182.78746557235718,3.6557493114471438,8,50,640
30,102.514,1.39162,1.19625,1.16837,0.65725,0.63366,0.67536,0.36892,1.63098,1.2626,1.30859,0.0008516,0.0008516,0.0008516,yolov8n,182.78746557235718,3.6557493114471438,8,50,640
31,106.133,1.39874,1.17579,1.19248,0.73325,0.59406,0.69636,0.39361,1.58432,1.22643,1.27646,0.000812,0.000812,0.000812,yolov8n,182.78746557235718,3.6557493114471438,8,50,640
32,109.731,1.34555,1.13926,1.14597,0.73703,0.58276,0.69593,0.39362,1.5896,1.21061,1.28773,0.0007724,0.0007724,0.0007724,yolov8n,182.78746557235718,3.6557493114471438,8,50,640
33,112.479,1.36102,1.20088,1.16528,0.73897,0.60891,0.70641,0.38016,1.60792,1.21635,1.2988,0.0007328,0.0007328,0.0007328,yolov8n,182.78746557235718,3.6557493114471438,8,50,640
34,115.2,1.30245,1.14873,1.16308,0.73097,0.63366,0.7082,0.37171,1.62908,1.22148,1.31157,0.0006932,0.0006932,0.0006932,yolov8n,182.78746557235718,3.6557493114471438,8,50,640
35,117.771,1.2907,1.12622,1.13051,0.68987,0.66073,0.69484,0.38372,1.57625,1.19778,1.27398,0.0006536,0.0006536,0.0006536,yolov8n,182.78746557235718,3.6557493114471438,8,50,640
36,121.473,1.26375,1.13784,1.14631,0.65775,0.66832,0.69689,0.38803,1.56949,1.19264,1.25659,0.000614,0.000614,0.000614,yolov8n,182.78746557235718,3.6557493114471438,8,50,640
37,125.009,1.33447,1.11812,1.14273,0.69122,0.65383,0.70757,0.39552,1.57849,1.18375,1.26582,0.0005744,0.0005744,0.0005744,yolov8n,182.78746557235718,3.6557493114471438,8,50,640
